Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
Worldcoin,Senior Application Security Engineer,"San Francisco, CA (On-site)",1 school alum works here,https://www.linkedin.com/jobs/view/3642842576/?eBP=CwEAAAGKOY7tlFNvR1Hpa5dFPadQ4DpOxnDoqBvSSqYVSJ8Lp-DtCm7B8pR6DQXKHUQo-omIxyXGPlVxQi4tO8MAlU8-yRyyMxIsCS42aNfGBIzPm4V9S43ML1VRz5O8-rTLX05zui8xumYVFUxDxo9VpMgAbljnO-krW73SE0qQSbVIc_ZGm6F8hCHkOv6Pb-0xWWQJCd7JE-jX63A2oQxKVcuWnBkDP8bxYicUEk018ytJJjUH0GHR8hxep1K0hz4vRWLureP_BUdTWDHsmeJuhnKDbYu6GukQ0EMa6ZBTPaz2fHhGfd5GwxQ0q1WAtvpdITtsUl2qCXKQlap-fcc9P2AZC7oUJMMbXR0dJw5RKuk_Ywr7IAmlTHT-fSjIHJsMaf-M1KZz&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=RQUnjxaO9nUEnz%2Fme8ApKw%3D%3D&trk=flagship3_search_srp_jobs
Accenture,Mainframe Developer (Customer/1),"Boston, MA",137 school alumni work here,https://www.linkedin.com/jobs/view/3603455807/?eBP=CwEAAAGKOY7tlHGq4e23IET2r799lBB6PUoQdU9gnKFvXBcHcb_ZhU9t9k1tVHEoP-1lJm-ttKxmlnGTX249g0HnC06LPQss6Ex3n4EMT2TbDSJT4rxpylieMxDGAiEZHBOA0lNjbklLjwCdckJZMSCa-Ib7QDUDS4xnYSgwgkJDYeKNWWrvMCcFx8hPor5GToqPK5NcFd-Vld2l0_QfmmJcFjNawFkxPmm5p3fZBjdlNymuMDdUUxmQnd1q7Dgas6pVqflYCKnkGYwF2fKut5AiOaexJYqRmk0tgkFkXxgHrtXjPnd7yBEohgwokjU_nd-bMU_uJ7LREJ3oxomkaJjSCRS3LV4ETdz-MJnC36TiLT2ZtdCcVHPO7ZF9xeb7IBv-rTzgVgEbVZE&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=asrIvf16GTTJoS3XSnA%2BaQ%3D%3D&trk=flagship3_search_srp_jobs
KLA,Solutions Engineer - Linux (Hybrid Work Opportunity),"Ann Arbor, MI (Hybrid)",6 school alumni work here,https://www.linkedin.com/jobs/view/3643116434/?eBP=JOB_SEARCH_ORGANIC&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=sfZupAeWt%2F3KdHn3s2kh6g%3D%3D&trk=flagship3_search_srp_jobs
Snowflake,Principal Software Engineer - Compliance Lead,"Bellevue, WA",24 school alumni work here,https://www.linkedin.com/jobs/view/3547719736/?eBP=CwEAAAGKOY7tlEeSNgK7BbUOQZL-BGYQ5IBef1fmihpxWVSGIclbT2dqpB8GEH66ZKNoTvhFnjUvw9pAFS2f07K2tnU1OHojdlpPuho5Kl3CPlEjjLq6DpXe0KUNi7eamFB0HDGErjoyRCSioqyk7uzelTMnBx6fFE9J2QSV_oquNm9O8ChlzAPJfmhCjAzZybG0Y1fB1lhWA3DYDiz_eVpd6V7mmrcg-SPwVyByL8EJ-VQYWPR3lmZgkLLM-Q7H3v-aYhxNhaA5sO6Drbqmz7izvNISgWG3wtLPxfY6X8C85QjBA0aKMH6Gc-u_XDAk9Z9G3hT9AXyKiwiL-P1KkinuF1pSPElES8N4VEZFcBpc23yAyE_zEvqRfNXKb4m6XF5eLz-36el1jrc&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=0ytz%2BRzFq%2BBDencDiRJoqg%3D%3D&trk=flagship3_search_srp_jobs
Accenture,Mainframe Developer (Customer/1),Los Angeles Metropolitan Area,137 school alumni work here,https://www.linkedin.com/jobs/view/3603455796/?eBP=CwEAAAGKOY7tlF2v7w14iSuw370JWfrzH26geFkYQ4vBv94ZBrWb7JYpL7lOAkUnS26HN-32L9aj461uycql-_2VRurv853ik5P0eE8DnlaV7P-BUj8e_GPnXhLRWn6JFoRaExB6gk4WndjigsOYJjEDBQt7GqlolZjlNRw8JxsJlssjDNd0xMTnYH98f4CqzjkWoDVUmn6LwBAvESWMD3A-0LPFD-nrPXZmqkOjaXTitZDGZC258uI-x9QPz-45zQVA1DyFVzzikjkwl_TkLZqcRlC--K27v7g1f5X0RiSKW-u6-LLuEFWcADU7fA3KSqVl7LquSIeB7Kzr1hJn_doZz8DcUYjWnHYt2TFmafl44Ouugc9EXZ1b_vqO2MJia0ADl81YhIyKPzg&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=wZT4Uj5fSdhDgkoQ0QfrEw%3D%3D&trk=flagship3_search_srp_jobs
BILL,Senior Staff Site Reliability Engineer,"San Jose, CA",1 school alum works here,https://www.linkedin.com/jobs/view/3624930580/?eBP=CwEAAAGKOY7tlBdbyrnd3pBJ30qLZVe0IIHZwyabN-O-ysKiiC7ipVhIllimVhenmsW02nwqAsN9cNnPuUBvam5CCqbwzOvPr4BPvdsnYR5DMqCW1KicuXKAbzNz3yUZ8G-9ARcPO4AVDc6o3EuPSvoRwHoYQHgAT3o8QCjj5oZlwN-0bJgK--Hsptq8w_kEjlFqqdLCsAtNAIYTUmDi97O0WMF8JoaXGVkQwzzMfZsv7MyfuSjwE3-25EtEK-GPycTlqgFPLoyqtkzdXBrZCMZuLtEvM1XJdkN0LjRvbxcfV8HmfgKXwuTBucNHSbqXZhl5qtNMqQKpqAYfOoLzX7klY2ZwOLG6w7Ci6MZac3EzI7DaDAX--jGwlnd7l0jcuSnhp50E3Iy7&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=Udr7Oocz%2FF9rCI8jymo8Fg%3D%3D&trk=flagship3_search_srp_jobs
ACCO Engineered Systems,Senior Cloud Engineer,"Pasadena, CA (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3568799568/?eBP=CwEAAAGKOY7tlCvpvPkfKtZod7VDpU21W6fWipeebmc4kld775mqJFrl9HHifoQVgSAQFZPQsnfIKFstZlmgSn2xdhPw-6eDQL6oPmw8_474kDMdZrFsHe_nhgQ_xGewXZ0nxDa3f634mPQWlePlFaGmrCt6HznYNFgNd0fONlThMZsGevTk0ralke0SClKJuq558i3IzDzpKrOvXbDhSKaq7npAZHpZAJz8as74EctDFEAZTSEQXpF0RNwHkpSw-rLMviNQz7OK8jObonSiS8Zpj48oHkJQ9eRE3iwhJxnKSz8IbkiQYIs_XMVDqpiGa0bVueSQmqwoDmXzmWloQk9ELUGc5i4_93MFY5N0OsUxbv57ocUyOZozrRBMeLMVg6Ym5ZDKUD2P&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=YmsSo2udbH89ohADDDC3PA%3D%3D&trk=flagship3_search_srp_jobs
AVEVA,Senior Cloud Security Operations Engineer,"Lake Forest, CA",6 school alumni work here,https://www.linkedin.com/jobs/view/3643143632/?eBP=CwEAAAGKOY7tlON0lku-IHkWMO1bFj4LMSCrOhPjM2OrJ8a3NC9pRzJBKjw9b4p-dUXneNAYb_LbV5MUti0snPoFFeLX_XuHWcGWcRQoJLk1WmbZ20FDG_RY0zFuHhWH0SwMxJEdZ4Mnx2azzxNOg6EWFu6KNVbpNXb7lRsC4p-2O5y50ldakl3mpek36lJCKB6Nz7cvkpHjOPxBeNL9aOQmhSBgcBtjH6a7lq36utYyvZ_t7zKvfXjm3fuLxDWP_kN4bYNk1t4e9jiWmd6gdZYoaQSTjisnun53RfrmmbakwysUwgdFVhNSAWRYzFgCFmQoPzflQGCZkWuQfsfFqllDEjbji1ulQleH2iGT3tE59_5pjPNFgQc2Rj780i0BtazToLxoEA&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=jCxeX%2B8Ha6Q1yeaiUGFQYA%3D%3D&trk=flagship3_search_srp_jobs
California ISO,Applications Integrator Lead (Remote),"Folsom, CA (Remote)",1 school alum works here,https://www.linkedin.com/jobs/view/3661568029/?eBP=JOB_SEARCH_ORGANIC&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=7kySQLz6P2aOlp99siecrg%3D%3D&trk=flagship3_search_srp_jobs
Berkeley Research Group,"Security Engineer, 340B","Washington, DC (On-site)",15 school alumni work here,https://www.linkedin.com/jobs/view/3483878963/?eBP=CwEAAAGKOY7tlILAzDoH4MBIljIniHY_A97tDZOsCQCHuOmJZEF1313rjPg19M2rDwV3WeZAiaNXO3HddBjNmSVpUPsLOp6Z2__v0wgklQrJ-N5T4EZw5GF8m5yyO3mywvc9bnYRQ-4JY_Pa7si449nn5SqpkLmsNTUoUaPDGCuaMfDchY2FMGK3c96Zeymq9kFGOS12aQOExoxCcqPLA5JrQwQd2H20ccT02GMjzn5JFTKHhp0QhogIYhi40u6Edn6w1Ng-wIF2qTdWzZFwhIIxzjDfiYJShZbk9cxg7taLV8BF7gKMQfEo24Dj0UxYV_UFN2fAaid8Hpu5g79-GrTdntmO5UHQcgfh-QcsmoHxeLywyJpDkZTOzj5PFiM56Ke_OS-aPuHli6o&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=SClNz9hZwrJjsFuUYqQD0A%3D%3D&trk=flagship3_search_srp_jobs
Guardian Life,Sr. IT Workplace Engineer,"New York, NY",23 school alumni work here,https://www.linkedin.com/jobs/view/3625709762/?eBP=CwEAAAGKOY7tlF1pejeE1O6GHL3lrpRVpfmGNaHaDR_JGsCB7lO4BWbXP8YL-E-XiSt2_1FrQhbIH47QwWBzZQ4tk9ZCOv2vgXpeBYODTSJHxWYzGH_47QgYkGJN46VzGgl6qubrYYNSE2kLU-nX1CHdV0R60Wh8dyPDVo8_nmYaupQmg0tCfkRTei42nptqnWB2Gl4LVF4kjsXQ_kLEOy0DTmvLjZYofadcC_5cAnxi5PG7__n3EE169UxL9oUYZKSybnIKT2pEtUvdZ8plAJjhaBHeMHLHJJW7_UV_dZu-zKVo6uO09n0leQXeVNW9D8np8yBc8bcTo9gzYNKzKB3wwLkBpG1m0swn7IRIibtbfGT-wi27CReFolTcJ4X9v2JkSSMbMw&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=twRSRQBS%2BxBw0P08onzZ9Q%3D%3D&trk=flagship3_search_srp_jobs
CNH Industrial,BMS Software Engineer (Battery Management Systems),"Livonia, MI (On-site)",1 school alum works here,https://www.linkedin.com/jobs/view/3624865307/?eBP=CwEAAAGKOY7tlI7V819S3OIo_MRoKVDGRJCSH8VUGgOU-RdtqGCxNK6BnwgxhyK6o0vTfR0PzM9iqODUR8cfdQfBqpIHNkWXa5iyta0Z0apgfJNWOeAmPmeRzchYRpNXx7_wOX4gXUNyjJARMVXgGwA9zeRA8p-TP97jSYKGxuZmVByHBl3T67WxEReMrO9roYWwxPI0yAjd2_i9eUvuWdGL7QmvNCN42_R3Ja1Su8Sj-YCvldGlEMfwoKJpi0uvBpDpk-XVqpA8oMb19Fiz8dT3NXszU1Zucd7aw89lhVKvAJSLPDsBD8PbY5F_U-JZpl6UJLGcEysJpA2rHQO-UOUfNy24hvWMGX5wJub857IyuCQxzerkbS9JOWrtw20U3w&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=mgpmdNuy2O8MGogKIv5epA%3D%3D&trk=flagship3_search_srp_jobs
Synchrony,"AVP, Principal Data Engineer","Chicago, IL (Remote)",9 school alumni work here,https://www.linkedin.com/jobs/view/3643453664/?eBP=CwEAAAGKOY7tlHtXGdyLRtNfm9xy7o7ye6sF2ygyXrJcgpfhvJoXeGN87MftswQd_y-ar2DycTLcrbRw9NZvy9UksXI15VdTCH3XgKkfJkPHl11zJhSJBdQjbgysT4Bpx2MoTMNBYjN5XRGgzxnFuQUAJUkmrX3ax4v4PazOg5-3Y9pziAR7QMM4kT1MJAnq5Nbm52qokRUX_WcHLNImowbYdwWMNs4NKCAL6bgJrICCF9iZLOqZ1oqUpyUdvMXNMegL-UKMN-QjYt9kFSB-kBSvsS1xA6l8YrRRsr9F7lkTrL5IbnkqPHqeApJnDrrvl50UJJmP2kVIUcEy1IM85PtOljUI4DmfTcV2h9p3TK8PYwom1i1QtrG9W7uFGwV4HX8oEIC483wlk-8&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=bH4FF7X6bJneA0FNV%2FepCA%3D%3D&trk=flagship3_search_srp_jobs
Zoox,Senior/Staff Software Engineer - Prediction & Behavior ML,"Foster City, CA (Hybrid)",5 school alumni work here,https://www.linkedin.com/jobs/view/3004855032/?eBP=CwEAAAGKOY7tlZX0AoDqr9Ucj42R7TkrDh9KqsNsr2xP9XUTeMa7AjGEmtTkGZOC76HqCaexk1TpySmPiNAmmad6lAFpW-cMaIcQUyhkbqFfNO97DKx8H-Y9JAlS201JpNOeB3R9YxXE6x_7XE_fYK2Z7hVInH22ZhM95i91jd7VPqIxJ-jNnowz8M0wBkZTDfTPYbkV-4ZFZTPaWp5sd9hJFhBXpSrZSTp3L0m0Kb4mvNItEHi1xVwTUuhjb8Upot0eicyV88QzbbyKNbAhIHECXIoVS48hIzJf7f9bAuaB4IqfB0gq_ycD7D9WnE2vBM9ln89lyGFOCr6HWtirFVKCcuHQRGumK9gGstXqXnk58HXtsEmTisTG_BXb7oGsDx3_laSia6Tw&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=utmOCBj5HCy87dhpB544oQ%3D%3D&trk=flagship3_search_srp_jobs
Cotiviti,Senior Software Engineer - Fraud Solutions,United States (Remote),12 school alumni work here,https://www.linkedin.com/jobs/view/3644296540/?eBP=JOB_SEARCH_ORGANIC&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=PFfWMWOvTu1NTc%2BvWatrng%3D%3D&trk=flagship3_search_srp_jobs
MUFG,"IAM Subject Matter Expert Engineer and Developer (IAM SME, .Net and Oracle PL/SQL Developer) - Hybrid, Tempe/AZ, Irving/Texas, Jersey City/NJ","Tempe, AZ (Hybrid)",13 school alumni work here,https://www.linkedin.com/jobs/view/3601757210/?eBP=CwEAAAGKOY7tlS2kv3dSQH-MDHG0WjzDNfz8wxaAMt2iCPex5FQ3epMs27Asnsm1lwZ7sSBsLukhT4H06jCY_tcGbTrJMM1xhH_Q9OBsYqY9vx-xobf8hopzTjrLRx6crYWTFGufPyWprRSe3Qdc6F_XKQW5x_EDz9uDaNuTqtk7rw3A9FQJjKr1Ssy7R8Ev2wlzpdXiwzwMLcj2BI6Nu2bl0V4y9RZuo4hXW9JSq6XYTqM4DqWd7FUHXHvHx5JhY0cDIL-R03M6isOju5jPBS_5230-eZq0SBIjO7J68JbCzBMj_BOZ1i5IwSIIVBhZHNSRpXxW8j_yZQEtXV6QotImx0CqEeX2d6ElckyWecaYVdZTCYOhZJ9dTA0FnNAxdOYkLxmdSTo0OE0&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=6dejZYJYv9CYKdufiXgBRA%3D%3D&trk=flagship3_search_srp_jobs
"Resource Management Concepts, Inc.",Sr. Cloud Engineer,"San Diego, CA (On-site)",,https://www.linkedin.com/jobs/view/3511773711/?eBP=CwEAAAGKOY7tld5Nd58Gdt7waauvTSPzpuiijyx5cCICQRZauMu6G87pB4Dh6bUMs2bl8jjqhAqDf5dnAf-IWWZ3Lm36UVdWd6lFJ4WVkwFsUB-DR8gGakHCgQCsZ4wPjilzCqpSMMRiapAuZKGpaOuw6KEp0rq_mNwMzJgHTjULIZdMeFs6hILpG2o6UHMe5Mkktt_cFAOh4Jch__4_vms0dn3E2zZPMnFxWKeEOqB1kusrUoyBxxQ0J_JzJBxN_n5iChqE7U_cazTKMFYJlg8U9vsaFgpsmo3glwrf3-VIlx2afet5uKo2B3vHrHNLmdVncjPYzXvtv3ZbgW7QIppfOE6Pk8WJX4j0UB_lsrSo-e6jARYDVnZlnX0KxRhkneDzBVykq_F-&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=SDrZGvatNUPWRn1XWddBgQ%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,Senior Ultrasonic System Engineer,"Santa Clara, CA",51 school alumni work here,https://www.linkedin.com/jobs/view/3643370277/?eBP=CwEAAAGKOY7tlb7GK1zCgH0Yj-pqTSI_lA2ydCV0Ri7cFXKr23NwqQLPeS6Yrf92C7dEc3Bp2kVpOE2QaA2Y_lUKzy0HhCTco6fGQ_s4RhrP7CLXgkloTccxNu2DTeeDzjJzuHT1GANls_rnOi28ea_IPpEoJMfeRcSBHGP_gPTflyWYAXdEbbovlKiTl3-wBD7jaWkB33DSkN1dvzHQHK9HXixtpVO9dYqOLowQN30r6Wx-fkY6dvcgqkIb-9_Wd11VCNFpHcfGvlLI-As1DidWW19z0eL6CPELktnYe_4Q_KeHEQSjyXYTMFvqKwRT0OmeYypHr-ug3C8kwYGPefaPwYnZAoF1ujQFlP403nxeqDpAY_UlDmWIgrtqtK4IrGKdK5mDfr9ZUg4&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=cycNA9Wry4eUDkKThghaZA%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,"Senior Systems Engineer, Embedded Imaging and Vision Systems","Santa Clara, CA",51 school alumni work here,https://www.linkedin.com/jobs/view/3666078102/?eBP=CwEAAAGKOY7tlYLRMgQaWih-Vh27PXBIJHhrK0jtMW9bou0jayG0_vuWRT69FyM2_9nTb3Rep4MdKliN3XMpkMVfcEZXYWdYKtH9c0vOkkhPEaVbt63ZUB7nVbtj0YUvsa-iVcZbpa0DuM--fON63Xz65QXcPMrLsuwWsOTl9rlEI2GrVMiijInKJldVvaV9t_GFuRDYl6V5rU09woeybYaHwfqGAdL79ZQgPD6dSRlNgoraWvNGvka0bvLWKpcks8nlOMkX4kbVSzc1CZag3IPCKHNJWLkReOnOlluDiVGLYKenz78oT6UiUd2BwHWAlov_8szN7kw8dVCe431FgvYhJmFdZgqVaNaTto4Tg77-OoRe9V3ydHLh03iBy5pEuUynC3fy5d3J&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=Hg3RXzZ7c7VJFeKQa1E4Rg%3D%3D&trk=flagship3_search_srp_jobs
Early Warning®,"Sr. Software Engineer - Data/Cloud, Paze","Scottsdale, AZ (Hybrid)",2 school alumni work here,https://www.linkedin.com/jobs/view/3674708458/?eBP=CwEAAAGKOY7tlc6RVGk8XFPfyXuixnaZrZAED2AwKBIKkZvcrYXf5bxtFr9YjOqSKYPaPU7kpJKJ-H-s_hvSi8eWC21WkDtLvgQXVQSwf9XF4tftnA8LeuTkF4JCH0YTGjC1Yj6GNifeUDp7xO2bN488DoU08k1UjIWu4PMn6hrAcj8-yI4PJHZ1FIrchUIhKrRT08NyFLqe7Kvd3IVm6inlSMooRzYLYKvhn7PyjvbETzCt9fIcRMH26Jw0I7UmT0t0e6iDgE83RoQB3IcoEr4uq26zhRv_KG_8BEnrUDhiRWiYlZJy8en7i9PFjXaPC_t5-JOdl-40Q4D437EAV44RMaYYtL936f8MpksGAymLrvikwL-iq6SjexPLflDIlVHs80K562BC&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=hlUPFBUIDtyIENMEkPQaZw%3D%3D&trk=flagship3_search_srp_jobs
Siemens Digital Industries Software,Software Developer- Circuit Simulation- Remote,"Antimony, UT (Remote)",15 school alumni work here,https://www.linkedin.com/jobs/view/3620278255/?eBP=JOB_SEARCH_ORGANIC&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=Q9l2n1xa5dsrXMcfh%2Bs6Zw%3D%3D&trk=flagship3_search_srp_jobs
SeatGeek,Senior Platform Engineer,"New York, NY",3 school alumni work here,https://www.linkedin.com/jobs/view/2570803182/?eBP=CwEAAAGKOY7tlSmj-UavceavepBBoh6oEvaIpB_BweikpH9HiaLlRXOhtV3HWu13llun1Yi1HRYhj6kl9F3vzBSRI8DJylw8h6UhlX5Q2fRNpXWvcWA6XaoPmlXWpabitJNJ0BPS1hpVpefjyL_E847NyJ80JnfO-1XedxTp6zFGJFXf5yb4FTotwJ7DQnuVQENh5U-CCs2G5hBhJQdayOLswDevD8BpGMKaPtTOzgoonJ2EWHwym7lwXE4gBhPE70KttnhUb9TIEPKXox60n1QqBLvypFByZQP_gPO2Rk2se9wWWLTH233eSkW0-dV9R9p0xcS8M3gEtQRldo2tDpnLOnki5ZQ7eqVvcDTOKrNNB3wumH954IMUipNF-t7YyAT_ZSVVDJKxOS0&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=ghtyqPVv6ooelsD2dul5LQ%3D%3D&trk=flagship3_search_srp_jobs
UST,Senior Software Engineering Lead,"New York, NY",2 school alumni work here,https://www.linkedin.com/jobs/view/3700523977/?eBP=CwEAAAGKOY7tlawJTJgmoiAajPI4w44fakdNA0-L-OcfD4b_CoNqAWkel_yFGLQWQiYq0hhdR5GOhBE5IBKiyKBTrEZ1KTVkj4ub94l-wAMuUe4GHKp5N35SRwQTzR-3Np8hXwGI2Vv02cxmnryHAsHb0ddK2Ed5MpdKe_EEHYIqNQ55BdTBYDvM0UksRg_nDk8n_x2G5bMIKs8aTs-7OuJ6GXI1sEpHr60qwjftmz5BtDic0Qe1eGx80UVNX4SzEjVO383lEuS7dRfGagpbqQedcPSBHchQXLCDTcj0HzuJwXVhfjk01p7i1icEKPNKE1UCOrsgiDrHD3K8UnA3OzLF1MFO_3yFzS6Tzwn03htdn-c3As7KgILBRVyCcHxCA_mmyEKwGAn9&refId=ZSRZuHERU95CTQUxAiE5Tw%3D%3D&trackingId=ck%2FzACAcfMxc%2FOii0o26ow%3D%3D&trk=flagship3_search_srp_jobs
Accenture,Federal Salesforce Developer,"Arlington, VA",137 school alumni work here,https://www.linkedin.com/jobs/view/3576142866/?eBP=CwEAAAGKOY7UD0XXuRu2cZRZ3vcbQzTRlWh7qZNw5n3AKrwJyO8QLUJOS6mnwArZX_QPbRkSwwOR4bpwHBuxIzXBMjFRZ2CMSkMu_dPajnqiRbBLdqWSC9XmYd79pT_B2o3wehBfSHk8krRWc11zi0SCKNtcpI_VoHR_IlaqvvwuSAjIBwsVppJkZjy0At89wHhAHbVcbobBizwS1NCPGAs-qsFWl45tizfbgQ9ZsuyvwftWuD_OAz0u2795bFVVS2cHD5gJk1jcypdUy91kpsVFYnEXwk_T6eZsiQAT_ggdylrXeqPpS6W8oxsLpXgc354ZFfkNwd8AYY45P6UGfGW2EvlvgzZoPZTBksXE-yRYxmTqrmjcWldyOikYpaORToMdkyitDw&refId=gzz0AD%2B22slBJ1qUZLnxMg%3D%3D&trackingId=yIzeMGJNUXhh%2FnqzyOfVBQ%3D%3D&trk=flagship3_search_srp_jobs
Blizzard Entertainment,"Senior Software Engineer, Engine (Systems/Console) - Overwatch (Relocation Assistance Provided)","Irvine, CA (On-site)",3 school alumni work here,https://www.linkedin.com/jobs/view/3604764910/?eBP=CwEAAAGKOY7UD162r-0xQ-iuMo1VV_VuZapixYFQtCe65dEUTrNyA0q5U4GY0sF-fK7o_xDIJj8_FT6df4hy_mDm1P_9vm6CnnihvZnPZ2FjJtc_mLHtafrPf_yGgBn51JZeMM5IFQ3DBzXoETrXT3GKH6QF2BwIc9AId95Hd9BwskeL-aY5hvHTBhnJqAwXq4r02hMRCTX_w4zWioT86AdGEvdi4R3Gn7WnvTOYOHz8oKC-Ozg2Ix8sLVF_jikNB56W1NCYoRF560KRhB26slmdPkO3kcaBBhVVuVp_yuhmVH1D7HkEAt_Ndca053dZGLPMotJ_OUo7cH872XkKGboyph0crGc3fL6exFpJmZaGbRntjFWl2JOjnnzzaETTccbqxd46qQ&refId=gzz0AD%2B22slBJ1qUZLnxMg%3D%3D&trackingId=KJZp7Ox0hgWcHxkPilNpMQ%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,Senior PTX Compiler Engineer,"Austin, TX",51 school alumni work here,https://www.linkedin.com/jobs/view/3666076585/?eBP=CwEAAAGKOY7UD48drFIC4tf3H2xGRsgV42eoqPgNSzQlr-64zqrdnU4F5mQIJDoLzCeFSXJHEQ-uTOUrYl3j3ZhEZFfGqwkJ03lFO7N1UjibvZTY6ugyYBr5ZOfo68P_xTV06hq3p6F6zXD3Pc7hkWLdwA94I1HUDG383X87Epzt5orcyiqPDxgSirp9_ItWveOEwHjdeEto58mW3X3XDvgHSN1p9CFQZjP5jUp13rivOUN89-zu1TBJLslxmVpZZvz4tHO1_MUsMVHQPrYrA2un52_mAQjo9Kqdcp4hJThAxe3NAca9BWuIFu1bjODVJ9MVG_dKBfyQLEn67bqSGOLNgt7m11mOOXvGVToRfb435cvnxSk1TN8A9sDITb-xt1Qj&refId=gzz0AD%2B22slBJ1qUZLnxMg%3D%3D&trackingId=ktCamTyu5D%2BnVYdsCcmqKQ%3D%3D&trk=flagship3_search_srp_jobs
Medidata Solutions,Sr. Unix/Linux Systems Engineer,"New Jersey, United States (On-site)",16 school alumni work here,https://www.linkedin.com/jobs/view/3668085943/?eBP=CwEAAAGKOY7UDzlM7w2DwgeSY9KFHoUfNfYxXrZKpj45D9139GO3Bub44YkJ8pbO9mmFZDI4H8LF3S5IPyt3T-zzbYUq84FTNLBvXVu3OOGMSxNS7_cr8xLaoQR2EdIe7WgVePGYiYYTOO6PuRtJlf5peurE1MI0U9zojfkVig5Jvvdk7gEAeSAY5YYhPLzmRsBEHP2c0FMMv2tezdvd6FdWylqyG_kBzg1XmiHHY3irfUAu0bvipGxMbwzQREMQwtNlry9GXOztgQ8s8GjRR6VZ-xQu3s-9Xd4gg-FP8AIJ83ds1umuh3GY77fOfx0G9GDwam1YwCdJ73vFGOWaaRR1Dc5NxoIFXPnHiae3YkghlrQvbRKWV5JTwXC9qGR8_b2c4KiJW1zS&refId=gzz0AD%2B22slBJ1qUZLnxMg%3D%3D&trackingId=X4hMPxQWmXdW63OfpQFGWg%3D%3D&trk=flagship3_search_srp_jobs
Attentive,"Senior Software Engineer, Fullstack","San Francisco, CA (Hybrid)",7 school alumni work here,https://www.linkedin.com/jobs/view/3449800937/?eBP=JOB_SEARCH_ORGANIC&refId=gzz0AD%2B22slBJ1qUZLnxMg%3D%3D&trackingId=qxmziyaMigwpkAlnyLW3Ag%3D%3D&trk=flagship3_search_srp_jobs
Panasonic Avionics Corporation,Embedded Application Developer IV (Hybrid),"Irvine, CA (Hybrid)",Actively recruiting,https://www.linkedin.com/jobs/view/3635376173/?eBP=CwEAAAGKOY7UD5NtLU0uTOM4Hn8NsdC1JhXFBk6TBZBk3j7POuxq25cfg8kJO0-4tpPh43QYzB6frDPdLuHNTVFzgz4uozOeVRj7BYixRAwQhIeYxjnw7VL0niNijl7Zx_R2KUGu2wRnNgAR3Y4agLYQhRkwqpaFOUWGK12fsmgt9XQ9sOw1rpNT931_y56scD64-U-T-jRxgbQ3tHm6d42jdyhhTAmMM_JBnHSvzJr5DUchGLH7MEB6EZBIya8scHAxnxPTv1NUK7BYlcl3IaOvXsSBfjV4BiXSGdow074SUUUpbYMl1IRhnXvEs6tgcmVLmSxJrPxGm0lCBfBcrARdoesDV_dLW051NpVqE0m7Csmogf2PH1b6UKS6VKQtjCurgBxFVA&refId=gzz0AD%2B22slBJ1qUZLnxMg%3D%3D&trackingId=sBQw62BKh9r%2BlpwC60pCHw%3D%3D&trk=flagship3_search_srp_jobs
