Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
MUFG,"Front Office Java Developer, Associate Vice President","New York, United States (Hybrid)",13 school alumni work here,https://www.linkedin.com/jobs/view/3642330142/?eBP=CwEAAAGKOY9p95pjB_So_VXo3S1sMm7WntdUpx3IlxdHQYA9d7Bcu5TQ-CBGENMyzFXwky3bwb2eG5qGc8rIRa_YeRxvfcSIPb0UMcB8lkKu15je_2Xuz3xNxRjOsF2tlEsNVeQlPA49GN8nJZc-UZLRrF2NuCjF2N7wnbUJs2-HqKELNc9JlbsuHnfzwaWj_9ZUzTWAnCGgix7SsOIdUe9_zJVIK6yhBGXI3RU47M_6L-Xu4Dgjkcyq95NAccoyK26cdE-cvCcPEk5XCeYrxCOibXfwmFtmtKGvcaLgKLhuiQ1gEmgiOPON7QDctTboWWcOManF7UXs8oWd4EnGI5T4K_4gyKXGDeXLiZcrML7obiXl6z4qUuFE5tq7oYdB801kDX_F7X2E1X4&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=QDAH5nSy7hZjyfnl8bTP0g%3D%3D&trk=flagship3_search_srp_jobs
Anduril Industries,Flight Software Engineer,"Costa Mesa, CA (On-site)",14 school alumni work here,https://www.linkedin.com/jobs/view/3036014874/?eBP=CwEAAAGKOY9p-EnJvrTqIZwADIEQA0dDcnpYvcHLjY-ARKGm_VGFKF2A32zwOZebzxW6hXBmgd87AdYlO4owyMtq2uyY5e0w2025iQH3rfdiEs-b0z7By1mXwz8WoGYpZ4zmt9wjyURp1sPQFDZNaPykKjn0CSxx6EQbmXyi88PSRSPr2Tp8d8ETh831E0RI3rKngNtuRkc-8U9tNhqq2ZsBj0OPL7DH_M0UC72loBcymMANTb8-NMMXcq3EwfUCdBUhnadZDoB7B-kp-AE8QDdbeZKNHmwJxj81tLrOCUW1rhG0lc0WX261fdCXYwqhEWpss3HErkwCHYxF1amy412J6j1RT3QrADmf27eq_-I0P5a-Hi5wpoEQs_D-pPNyAzjRC0n4aMmgTwc&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=ZF%2FZQq4XGGUB%2F7iiOcGHUw%3D%3D&trk=flagship3_search_srp_jobs
Canoo,Functional Integration Engineer,"Torrance, CA",,https://www.linkedin.com/jobs/view/3421364612/?eBP=CwEAAAGKOY9p-JZw1Kjq2XHr0bNJY2hR4M9xznnPe0C_OOXE62a6d_MxXtgGf35PlT8jKXOKwN0A0iz2eA0qUHoTwip1YDInRMHzstqqZKpGlva_5g_cRc1ui75exMnrbg5nAJvQk6CwLhqx2gBp_78U20u1yDIm4rK-AJmxk9lsHtpDZZdB0LwMRUrFSiLVXf5HFLgS2b8G-oHXM9cwJC8NZxg9joLvD_PL0deNpdlLPmwDEDPScl-EbeMTKCEOysKCMptmDAkWwLPW1hucOfQkbFgWRtfP02W0jMSt8jTwkyn9s5l8H7EQVywUgtvUftsNjQnpfecWXgnevq9fRHZsUiQA9X7ZfpwohlLWPN37i5gr7fYKq_6T9sXIGtMfy0sZsMs70HhY&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=NDGyzdVL2w7lVbmg%2BnuOVw%3D%3D&trk=flagship3_search_srp_jobs
Albert Einstein College of Medicine,Engineer,"Bronx, NY (On-site)",12 school alumni work here,https://www.linkedin.com/jobs/view/3661066085/?eBP=CwEAAAGKOY9p-G2erPAO6CHKvVyWxpaiV6U1hHUQvGytBsUHxfUyWuxRxZ2HNHZGnz32LniO3vy5lwd4aYCxglp8pSi6a_6MFPGlYgkC4dXp4ysdSA9FnUA552u187h-ZcN-tDff4w1fem3YqGnU24hwCKxZY2IMkSaxJVrzw7-MtIj2i64G27nOZq_4ekQIdRGx1-hVCCgg99GDvqcbsYNckqBwz3yp34n0eGCagiPQjcw5D2L9MDA6fmJ7iMTA4AOZG4mOw4erYzppA0pmLSf-bh7gqpS3GD2TCHD_O4_bZd0PJQgjerhXC4uH0sJ7MSNV7D_IDJUGPi5xypA64MsXpNJytnl19oyZbVHUPu56sZl9ZEif17hvIIv5i_i-IiiuKNcnfZsDKmY&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=cR200mmXKWDDX777FhosBQ%3D%3D&trk=flagship3_search_srp_jobs
Novartis,Engineering Specialist,"San Diego, CA (Hybrid)",100 school alumni work here,https://www.linkedin.com/jobs/view/3619530670/?eBP=CwEAAAGKOY9p-K93zs_6R7-T1Xm1fPQ1Kh5tW4y0bVrcfsek4nOHmDurKcyAG5tfuMMFLcFSeHW1bLZh7t_NDdD44uFi2ec64pPpKTHNhp8zWqgPOYonWik-qHYef04SQloBwlUKcV8BdxpUpaX0hrZeopaH50zRXuKeWmgIC9yc6zlyVACK2tAWMINw8TEDGg-bJ7DpLf7qPkDIREausBv3bw8NgUasvEUNJ1h225Lo86Wk8cHAK0JvLFVc74ncAEr5YSnk0PMI5ve6Rp2hxXAXhlo-rtfFrONNNeFDs924u2_x6L9DOxzYRV48J0vFBlwUJNCFqPaErv7s3Wxdwot2T4Ttt6OmyIIFeug3m0NI7iFZZrF32yFN5kEnI-hStjJMvtA8RR8sF8U&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=PWfzntAl2fcUJboFkthqrg%3D%3D&trk=flagship3_search_srp_jobs
Ava Labs,Senior Virtual Machine SDK Engineer,"New York, NY (Remote)",2 school alumni work here,https://www.linkedin.com/jobs/view/3544110319/?eBP=CwEAAAGKOY9p-ODrV4u7av9YvZC2MpKyTYZvTYJ9JnFocWTu15q0FgYZL2TXeYvSjhUF7QbZ5q0Id5F5qo0d6p-SrK2DSjK9NOWsF81ngSthvqkyVgtmUeDgB1kXjRkdv2Sclhw99riPH3xJMD_EvTjMvVjpGRhf41sOc6Xa_ujoIPnI71y_n4kvPJ6kpQQg63oh0-eEiVd3YWrUy2cVl27fDAVBPgITS_W375RrgYKRBc2vG8lMQs48yakzMhtpV2_N5QZX8yGeWRMANuovdO9aT4vVX5LbzkTC1ao_x2tR_6hVIEE6bbpRsKw9DfbUle5LZpJ2QVsnF4bkIFRa7A3mUZwjGfD52sMtBtnseqbw3m4KaC8NQt1YZzd8eqnK95Z_5kOBga2N&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=zlpqRt6hoN0SfugZPHZ28w%3D%3D&trk=flagship3_search_srp_jobs
Databricks,Solutions Architect - Digital Native Business,"New York, NY (Remote)",14 school alumni work here,https://www.linkedin.com/jobs/view/3605373421/?eBP=CwEAAAGKOY9p-KXekuCEPOvazTYgNkTp7gw3AUVJErtBZaxH5zMoaHVAyNODtU0wKpovfOTaEbnDybFiMSZdDBalI3WNKcOGWve_YCtSqBnoEDs6erTDPajeiWOcfdoaQJ0oyBWWX0-NfR1YYOpPCVUjDDM8idovuv8YAOsj2jw0d2yPkZxrL1XxJilOhfpMLMdJvVoropXJc0HYDbVFimXOZx4YtfClgsVUkKuQu5BtjMvOC0w3Q47ZMw38crAoKACZUbN8WXfCz7ROrs_a4AITRizGIxXi-8ZzpM64n57rEk3ESWaT6KrcfJVo8voUZkJQnmjO63WZa8MHXNsxyUP8V39Fss7ZWbH92b4ZIRWKZIxMFUXDHQKn75XSJn7PRKHkF8KV1h9dOiM&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=ojynZV%2BpD3PK1UyzsZU%2B%2BQ%3D%3D&trk=flagship3_search_srp_jobs
Credit Acceptance,"Staff Software Engineer, Enterprise Shared Services",United States (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3677433637/?eBP=CwEAAAGKOY9p-Ilv2bf9SvH4HrOLRF2gDFCA-iTlf1BOliL_rjOl6fh72iq2D5zRhaHXtx1Nxds890SKNpJFyWtp2i0bk8DpRUysJJ3SM-gZ79kDWbwnPSwXlqRT-pcMXwOO6ZdrAU35FZx2OR_b8yPjTrqHSZPKOf91jAcPiwN43Rg-LLvdj6xHe2shATbdh-foD3qxPD1iI6zNxvuChgRrN0ajeBaHrv4UMK6B6vqueW4DIwM9PFyoGlOmcf4wdhKLUy8TQJ_WtMAgSJrYRVLgpTYwLFUixXrhUN0YniS0WurcgjkO2uUH3HWKIfPiWoUPQ0n7ZEp93AxmYJuFqWWAYDcpjy0gA_8ZABzuktErmtq8M3TqoVXwzK2Dm97CJL_hw42WBjveCaM&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=Ul0XvSRacNrPSDB9NNZaXw%3D%3D&trk=flagship3_search_srp_jobs
Guardant Health,"Senior Manager, Bioinformatics","San Diego, CA (Remote)",2 school alumni work here,https://www.linkedin.com/jobs/view/3623479063/?eBP=CwEAAAGKOY9p-Ap6Vm0qwAeMACRLZLH7gR_es6BzIzQQvylQp0o2GXaSztEEYmErtryrJAPwEtExs9qxE7tTfVI6RqAU-LRNtVclYmwqUsS2hz90e8Ng-9iWt2QGQDNbIA8PH1n2fRVkkojScrOQUz5yZBjelknT_R4UPfXDdBZnMMJs0t_WRY2z2QuAKjfhbAdIn__smo4B1aBvNetXrF2youiiQqVkPgLIhgzxBjFwzjhlf9oJuoDG5ykMlRvvNMtZgj-uEuQMAllMJi59_McEbU9kk8rMGVviXVKTTz0vN6dxaLuAYDa8WeqM9Wn9vdjZC2Gvg40cbu-3zcQwJtb8pCEMQ_ie9T7tF8LRwkTCJN7ZTGOIBpfOTqMmCE7MpXsm3G4QVTMvVzo&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=nOtCWKtYSQoUTAaa7FlTWw%3D%3D&trk=flagship3_search_srp_jobs
LSEG (London Stock Exchange Group),Quantitative Analyst,"New York, NY (Hybrid)",4 school alumni work here,https://www.linkedin.com/jobs/view/3548412658/?eBP=CwEAAAGKOY9p-LEjn9olF29wgW9gg89RHnBOTtPTvdbZ62pkOpvrPpRW-JWSdChnX41j9UrmazNnk_3_xfvmCVDBRMP8BfazDuXoexu_e-hpd56QaUl59goTEPCt9EpqnJHY0P4OIezPJ7CHu51p0P-RJbDKGsoLZPJSwyWc16MmyPeIH2ei5yM_K346jdvHEoW0kaY4KMab51JNdbas5vT_PK0a-eHP7AtPhjsJH7S57YfCypkF7x21tJruvISrwp6vrzJUws7Xkx_rUNRHFHu9QueeO3Vo7wGKah_Ezb9lBlNTaLg-FMeDA07UnEWWFqC4El_p1WFgWaBCtUgI3ncOn5HP_FD_QaRcxW3YS8M6mpWZ-7643Y2QvGFMf5fhOpC9lWPts774Vow&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=dcFfjss6v4e19mKI1YXQdw%3D%3D&trk=flagship3_search_srp_jobs
